season,round,constructorRef,constructorId,raceId,points_after_race,wins_after_race,position_after_race,positionText,constructorStandingsId,points,wins,position
1961,1,cooper-maserati,167,738,0.0,0,5,5,19323,0.0,0.0,0.0
1961,1,brm,66,738,0.0,0,6,6,19322,0.0,0.0,0.0
1961,1,emeryson,99,738,0.0,0,7,7,19321,0.0,0.0,0.0
1961,2,ferrari,6,739,15.0,1,1,1,19329,6.0,0.0,2.0
1961,2,lotus-climax,172,739,13.0,1,2,2,19328,9.0,1.0,1.0
1961,2,porsche,95,739,2.0,0,3,3,19330,2.0,0.0,3.0
1961,2,cooper-climax,170,739,2.0,0,4,4,19331,1.0,0.0,4.0
1961,2,cooper-maserati,167,739,0.0,0,5,5,19332,0.0,0.0,5.0
1961,2,brm,66,739,0.0,0,6,6,19333,0.0,0.0,6.0
1961,2,emeryson,99,739,0.0,0,7,7,19334,0.0,0.0,7.0
1961,3,ferrari,6,740,24.0,2,1,1,19336,15.0,1.0,1.0
1961,3,lotus-climax,172,740,13.0,1,2,2,19335,13.0,1.0,2.0
1961,3,cooper-climax,170,740,4.0,0,3,3,19338,2.0,0.0,4.0
1961,3,porsche,95,740,3.0,0,4,4,19337,2.0,0.0,3.0
1961,3,cooper-maserati,167,740,0.0,0,5,5,19339,0.0,0.0,5.0
1961,3,brm,66,740,0.0,0,6,6,19340,0.0,0.0,6.0
1961,3,emeryson,99,740,0.0,0,7,7,19341,0.0,0.0,7.0
1961,4,ferrari,6,741,33.0,3,1,1,19343,24.0,2.0,1.0
1961,4,lotus-climax,172,741,17.0,1,2,2,19342,13.0,1.0,2.0
1961,4,porsche,95,741,9.0,0,3,3,19344,3.0,0.0,4.0
1961,4,cooper-climax,170,741,6.0,0,4,4,19345,4.0,0.0,3.0
1961,4,brm,66,741,1.0,0,5,5,19347,0.0,0.0,6.0
1961,4,cooper-maserati,167,741,0.0,0,6,6,19346,0.0,0.0,5.0
1961,4,emeryson,99,741,0.0,0,7,7,19348,0.0,0.0,7.0
1961,4,de_tomaso-osca,174,741,0.0,0,8,8,19349,0.0,0.0,0.0
1961,4,jbw,101,741,0.0,0,9,9,19350,0.0,0.0,0.0
1961,5,ferrari,6,742,42.0,4,1,1,19352,33.0,3.0,1.0
1961,5,lotus-climax,172,742,17.0,1,2,2,19351,17.0,1.0,2.0
1961,5,porsche,95,742,11.0,0,3,3,19353,9.0,0.0,3.0
1961,5,cooper-climax,170,742,9.0,0,4,4,19354,6.0,0.0,4.0
1961,5,brm,66,742,1.0,0,5,5,19356,1.0,0.0,5.0
1961,5,cooper-maserati,167,742,0.0,0,6,6,19355,0.0,0.0,6.0
1961,5,gilby,97,742,0.0,0,7,7,19360,0.0,0.0,0.0
1961,5,emeryson,99,742,0.0,0,8,8,19357,0.0,0.0,7.0
1961,5,de_tomaso-osca,174,742,0.0,0,9,9,19358,0.0,0.0,8.0
1961,5,jbw,101,742,0.0,0,10,10,19359,0.0,0.0,9.0
1961,6,ferrari,6,743,42.0,4,1,1,19362,42.0,4.0,1.0
1961,6,lotus-climax,172,743,26.0,2,2,2,19361,17.0,1.0,2.0
1961,6,porsche,95,743,11.0,0,3,3,19363,11.0,0.0,3.0
1961,6,cooper-climax,170,743,10.0,0,4,4,19364,9.0,0.0,4.0
1961,6,brm,66,743,1.0,0,5,5,19366,1.0,0.0,5.0
1961,6,cooper-maserati,167,743,0.0,0,6,6,19365,0.0,0.0,6.0
1961,6,gilby,97,743,0.0,0,7,7,19370,0.0,0.0,7.0
1961,6,emeryson,99,743,0.0,0,8,8,19367,0.0,0.0,8.0
1961,6,de_tomaso-osca,174,743,0.0,0,9,9,19368,0.0,0.0,9.0
1961,6,mbm,103,743,0.0,0,10,10,19371,0.0,0.0,0.0
1961,6,jbw,101,743,0.0,0,11,11,19369,0.0,0.0,10.0
1961,7,ferrari,6,744,45.0,5,1,1,19373,42.0,4.0,1.0
